2023-05-29 10:42:09,920 INFO: 加载预训练的ResNet模型
2023-05-29 10:42:10,388 INFO: 将模型转换为GPU上的可训练状态
2023-05-29 10:42:11,887 INFO: 定义损失函数和优化器
2023-05-29 10:42:11,888 INFO: 定义数据预处理
2023-05-29 10:42:11,888 INFO: 加载训练集和测试集
2023-05-29 10:42:13,527 INFO: 开始训练
2023-05-29 10:42:43,680 INFO: Epoch 1/15, Loss: 0.9671398094113992
2023-05-29 10:42:43,686 INFO: Epoch 1 elapsed time: 30152.939453125 ms, energy Usage: 1812.817 J
2023-05-29 10:43:12,362 INFO: Epoch 2/15, Loss: 0.4072509678650875
2023-05-29 10:43:12,365 INFO: Epoch 2 elapsed time: 28675.640625 ms, energy Usage: 1791.735 J
2023-05-29 10:43:41,257 INFO: Epoch 3/15, Loss: 0.18546325401688107
2023-05-29 10:43:41,264 INFO: Epoch 3 elapsed time: 28892.869140625 ms, energy Usage: 1836.824 J
2023-05-29 10:44:10,445 INFO: Epoch 4/15, Loss: 0.11119298165550037
2023-05-29 10:44:10,450 INFO: Epoch 4 elapsed time: 29181.8125 ms, energy Usage: 1860.482 J
2023-05-29 10:44:39,742 INFO: Epoch 5/15, Loss: 0.08683260857146613
2023-05-29 10:44:39,745 INFO: Epoch 5 elapsed time: 29292.82421875 ms, energy Usage: 1888.018 J
2023-05-29 10:45:09,250 INFO: Epoch 6/15, Loss: 0.07471617376811955
2023-05-29 10:45:09,253 INFO: Epoch 6 elapsed time: 29505.22265625 ms, energy Usage: 1911.257 J
2023-05-29 10:45:38,741 INFO: Epoch 7/15, Loss: 0.053035743805408785
2023-05-29 10:45:38,744 INFO: Epoch 7 elapsed time: 29487.69140625 ms, energy Usage: 1909.29 J
2023-05-29 10:46:08,212 INFO: Epoch 8/15, Loss: 0.04364099083183219
2023-05-29 10:46:08,215 INFO: Epoch 8 elapsed time: 29468.708984375 ms, energy Usage: 1908.466 J
2023-05-29 10:46:37,700 INFO: Epoch 9/15, Loss: 0.0460008049659355
2023-05-29 10:46:37,706 INFO: Epoch 9 elapsed time: 29485.11328125 ms, energy Usage: 1914.264 J
2023-05-29 10:47:07,185 INFO: Epoch 10/15, Loss: 0.04075613286707322
2023-05-29 10:47:07,191 INFO: Epoch 10 elapsed time: 29479.84765625 ms, energy Usage: 1910.373 J
2023-05-29 10:47:36,675 INFO: Epoch 11/15, Loss: 0.03421863665975326
2023-05-29 10:47:36,678 INFO: Epoch 11 elapsed time: 29484.173828125 ms, energy Usage: 1907.904 J
2023-05-29 10:48:06,217 INFO: Epoch 12/15, Loss: 0.03279995697797561
2023-05-29 10:48:06,220 INFO: Epoch 12 elapsed time: 29539.216796875 ms, energy Usage: 1917.307 J
2023-05-29 10:48:35,765 INFO: Epoch 13/15, Loss: 0.024249882914829164
2023-05-29 10:48:35,768 INFO: Epoch 13 elapsed time: 29545.806640625 ms, energy Usage: 1912.866 J
2023-05-29 10:49:05,301 INFO: Epoch 14/15, Loss: 0.026579140756179447
2023-05-29 10:49:05,304 INFO: Epoch 14 elapsed time: 29533.451171875 ms, energy Usage: 1918.977 J
2023-05-29 10:49:34,849 INFO: Epoch 15/15, Loss: 0.03278575278818607
2023-05-29 10:49:34,852 INFO: Epoch 15 elapsed time: 29545.337890625 ms, energy Usage: 1909.905 J
2023-05-29 10:49:34,855 INFO: Total energy Usage: 28317.057 J
