2023-05-29 14:47:39,217 INFO: 加载预训练的ResNet模型
2023-05-29 14:47:39,664 INFO: 将模型转换为GPU上的可训练状态
2023-05-29 14:47:41,182 INFO: 定义损失函数和优化器
2023-05-29 14:47:41,183 INFO: 定义数据预处理
2023-05-29 14:47:41,183 INFO: 加载训练集和测试集
2023-05-29 14:47:42,811 INFO: 开始训练
2023-05-29 14:48:19,124 INFO: Epoch 1/20, Loss: 2.352283980296208
2023-05-29 14:48:19,127 INFO: Epoch 1 elapsed time: 36313.0390625 ms, energy Usage: 2284.164 J
2023-05-29 14:48:53,759 INFO: Epoch 2/20, Loss: 2.2882478915728055
2023-05-29 14:48:53,762 INFO: Epoch 2 elapsed time: 34632.50390625 ms, energy Usage: 2237.717 J
2023-05-29 14:49:28,375 INFO: Epoch 3/20, Loss: 2.2387631226808598
2023-05-29 14:49:28,384 INFO: Epoch 3 elapsed time: 34613.59765625 ms, energy Usage: 2240.828 J
2023-05-29 14:50:03,097 INFO: Epoch 4/20, Loss: 2.194012408378797
2023-05-29 14:50:03,101 INFO: Epoch 4 elapsed time: 34713.0703125 ms, energy Usage: 2248.928 J
2023-05-29 14:50:37,890 INFO: Epoch 5/20, Loss: 2.1515029784960626
2023-05-29 14:50:37,894 INFO: Epoch 5 elapsed time: 34789.26171875 ms, energy Usage: 2263.794 J
2023-05-29 14:51:12,836 INFO: Epoch 6/20, Loss: 2.110339544980954
2023-05-29 14:51:12,845 INFO: Epoch 6 elapsed time: 34943.125 ms, energy Usage: 2276.2 J
2023-05-29 14:51:48,012 INFO: Epoch 7/20, Loss: 2.069985160460839
2023-05-29 14:51:48,015 INFO: Epoch 7 elapsed time: 35167.23046875 ms, energy Usage: 2304.533 J
2023-05-29 14:52:23,564 INFO: Epoch 8/20, Loss: 2.0302005382684563
2023-05-29 14:52:23,566 INFO: Epoch 8 elapsed time: 35548.7578125 ms, energy Usage: 2344.404 J
2023-05-29 14:52:59,630 INFO: Epoch 9/20, Loss: 1.9909990790562753
2023-05-29 14:52:59,638 INFO: Epoch 9 elapsed time: 36063.53125 ms, energy Usage: 2399.039 J
2023-05-29 14:53:36,149 INFO: Epoch 10/20, Loss: 1.9523448989941523
2023-05-29 14:53:36,152 INFO: Epoch 10 elapsed time: 36511.3515625 ms, energy Usage: 2441.346 J
2023-05-29 14:54:12,821 INFO: Epoch 11/20, Loss: 1.9141334209686671
2023-05-29 14:54:12,824 INFO: Epoch 11 elapsed time: 36668.61328125 ms, energy Usage: 2455.95 J
2023-05-29 14:54:49,377 INFO: Epoch 12/20, Loss: 1.8764527064103347
2023-05-29 14:54:49,384 INFO: Epoch 12 elapsed time: 36554.17578125 ms, energy Usage: 2443.08 J
2023-05-29 14:55:25,828 INFO: Epoch 13/20, Loss: 1.8393475584494763
2023-05-29 14:55:25,831 INFO: Epoch 13 elapsed time: 36444.265625 ms, energy Usage: 2436.78 J
2023-05-29 14:56:02,272 INFO: Epoch 14/20, Loss: 1.802952679915306
2023-05-29 14:56:02,275 INFO: Epoch 14 elapsed time: 36441.22265625 ms, energy Usage: 2433.749 J
2023-05-29 14:56:38,686 INFO: Epoch 15/20, Loss: 1.7672412303777842
2023-05-29 14:56:38,693 INFO: Epoch 15 elapsed time: 36411.90234375 ms, energy Usage: 2437.068 J
2023-05-29 14:57:15,125 INFO: Epoch 16/20, Loss: 1.73229985389954
2023-05-29 14:57:15,127 INFO: Epoch 16 elapsed time: 36432.046875 ms, energy Usage: 2434.105 J
2023-05-29 14:57:51,554 INFO: Epoch 17/20, Loss: 1.6981632996828129
2023-05-29 14:57:51,557 INFO: Epoch 17 elapsed time: 36427.39453125 ms, energy Usage: 2427.722 J
2023-05-29 14:58:27,991 INFO: Epoch 18/20, Loss: 1.6648937738858736
2023-05-29 14:58:27,994 INFO: Epoch 18 elapsed time: 36433.86328125 ms, energy Usage: 2433.008 J
2023-05-29 14:59:04,390 INFO: Epoch 19/20, Loss: 1.6325411732380206
2023-05-29 14:59:04,393 INFO: Epoch 19 elapsed time: 36396.87109375 ms, energy Usage: 2428.768 J
2023-05-29 14:59:40,802 INFO: Epoch 20/20, Loss: 1.6010689102686368
2023-05-29 14:59:40,805 INFO: Epoch 20 elapsed time: 36409.2734375 ms, energy Usage: 2436.272 J
2023-05-29 14:59:40,807 INFO: Total energy Usage: 47407.455 J
