# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0    34    40    37    41     4     0     0   877  1102
    0    33    39    36     0     0     0     0   877  1102
    0    33    39    36     0     0     0     0   877  1102
    0    33    39    36     0     0     0     0   877  1102
    0    33    39    36     0     0     0     0   877  1102
    0    33    39    36     0     0     0     0   877  1102
    0    33    39    36     0     0     0     0   877  1102
    0    33    39    36     4     0     0     0   877  1102
    0    33    39    36     3     0     0     0   877  1102
    0    33    39    36     1     0     0     0   877  1102
    0    33    39    36     0     0     0     0   877  1102
    0    33    39    35     0     0     0     0   877  1102
    0   148    40    37    72    18     0     0   877  1102
    0    33    39    36    58    14     0     0   877  1102
    0    34    40    37    23    12     0     0   877  1102
    0    43    40    38    74    19     0     0   877  1102
    0   144    41    38    56    14     0     0   877  1102
    0    99    40    38    16     7     0     0   877  1102
    0    33    40    37    36     8     0     0   877  1102
    0    34    40    38    68    16     0     0   877  1102
    0    51    40    39    74    19     0     0   877  1102
    0   131    41    39    43    12     0     0   877  1102
    0   140    40    38    16     7     0     0   877  1102
    0    33    40    37    35     8     0     0   877  1102
    0    34    40    37    67    15     0     0   877  1102
    0    39    40    38    74    19     0     0   877  1102
    0   123    41    39    44    13     0     0   877  1102
    0   171    41    39    16     7     0     0   877  1102
    0    85    40    37    33     7     0     0   877  1102
    0    34    40    38    64    14     0     0   877  1102
    0    35    40    38    74    19     0     0   877  1102
    0    93    41    39    49    14     0     0   877  1102
    0   170    42    39    18     7     0     0   877  1102
    0    99    40    39    28     6     0     0   877  1102
    0    34    40    38    61    14     0     0   877  1102
    0    34    41    38    74    19     0     0   877  1102
    0    54    41    40    54    14     0     0   877  1102
    0   127    42    40    24     8     0     0   877  1102
    0    40    41    38    62    15     0     0   877  1102
    0   123    41    39    32    10     0     0   877  1102
    0   170    41    39    17     7     0     0   877  1102
    0    78    40    38    44    10     0     0   877  1102
    0    34    41    38    73    19     0     0   877  1102
    0    35    41    38    72    19     0     0   877  1102
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0    85    42    39    43    12     0     0   877  1102
    0   138    42    40    16     7     0     0   877  1102
    0   102    41    39    33     7     0     0   877  1102
    0    34    41    38    66    15     0     0   877  1102
    0    34    41    38    74    19     0     0   877  1102
    0    50    41    39    50    14     0     0   877  1102
    0   138    42    40    21     7     0     0   877  1102
    0   156    41    39    25     6     0     0   877  1102
    0    34    41    38    60    14     0     0   877  1102
    0    34    41    38    74    19     0     0   877  1102
    0    39    41    39    56    14     0     0   877  1102
    0   130    42    39    28     9     0     0   877  1102
    0   173    42    40    18     5     0     0   877  1102
    0    94    40    37    46    11     0     0   877  1102
    0    34    41    38    74    19     0     0   877  1102
    0    35    41    38    71    18     0     0   877  1102
    0    67    41    40    42    12     0     0   877  1102
    0   127    42    40    17     7     0     0   877  1102
    0   132    41    39    32     7     0     0   877  1102
    0   128    42    39    24     8     0     0   877  1102
    0   171    42    40    21     5     0     0   877  1102
    0    79    41    38    50    12     0     0   877  1102
    0    34    41    38    74    19     0     0   877  1102
    0    35    41    38    73    19     0     0   877  1102
    0    73    42    40    49    14     0     0   877  1102
    0   121    42    40    28     9     0     0   877  1102
    0   131    41    39    17     6     0     0   877  1102
    0    34    41    38    43    10     0     0   877  1102
    0    34    41    38    72    18     0     0   877  1102
    0    39    41    39    73    19     0     0   877  1102
    0   128    42    39    45    13     0     0   877  1102
    0   174    42    40    17     6     0     0   877  1102
    0    96    41    38    28     6     0     0   877  1102
    0    34    41    38    57    13     0     0   877  1102
    0    34    41    38    74    19     0     0   877  1102
    0    95    42    40    54    14     0     0   877  1102
    0   164    42    40     8     4     0     0   877  1102
    0    47    41    38    40     9     0     0   877  1102
    0    34    41    38    71    17     0     0   877  1102
    0    38    41    39    71    18     0     0   877  1102
    0   130    42    39    41    12     0     0   877  1102
    0   172    41    40    16     7     0     0   877  1102
    0    88    41    38    38     8     0     0   877  1102
    0    34    41    38    71    17     0     0   877  1102
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0    35    41    39    72    19     0     0   877  1102
    0    35    40    37     0     0     0     0   877  1200
