# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0    27    27    26     0     0     0     0   877   802
    0    27    27    26     0     0     0     0   877   802
    0    27    27    26     0     0     0     0   877   802
    0    27    27    26     0     0     0     0   877   802
    0    27    27    26     0     0     0     0   877   802
    0    27    27    26     0     0     0     0   877   802
    0    27    27    26     0     0     0     0   877   802
    0    27    27    26     3     0     0     0   877   802
    0    27    27    26     2     0     0     0   877   802
    0    27    27    25     4     0     0     0   877   802
    0    27    27    25     0     0     0     0   877   802
    0    27    27    25     0     0     0     0   877   802
    0    32    28    27    50    11     0     0   877   802
    0    28    28    27    75    14     0     0   877   802
    0    27    28    26    89    15     0     0   877   802
    0   101    28    26    55     9     0     0   877   802
    0   109    29    27    21     5     0     0   877   802
    0    80    29    27    25     7     0     0   877   802
    0    30    28    27    46    11     0     0   877   802
    0    28    28    27    80    15     0     0   877   802
    0    50    28    26    84    14     0     0   877   802
    0   118    29    26    47     8     0     0   877   802
    0   105    29    28    12     4     0     0   877   802
    0    34    29    28    40     9     0     0   877   802
    0    28    28    27    77    14     0     0   877   802
    0    28    28    27    84    14     0     0   877   802
    0   113    29    27    44     7     0     0   877   802
    0    83    29    27    12     5     0     0   877   802
    0    52    29    27    45    10     0     0   877   802
    0    28    29    27    79    14     0     0   877   802
    0    28    28    27    86    14     0     0   877   802
    0    77    29    27    51     8     0     0   877   802
    0    96    30    28    14     3     0     0   877   802
    0    46    29    28    36     9     0     0   877   802
    0    28    29    27    73    14     0     0   877   802
    0    28    28    27    90    15     0     0   877   802
    0   122    29    27    52     9     0     0   877   802
    0    95    30    28    15     4     0     0   877   802
    0    30    29    28    33     8     0     0   877   802
    0    28    29    27    70    14     0     0   877   802
    0    80    29    27    93    16     0     0   877   802
    0   119    30    28    58    13     0     0   877   802
    0    63    30    27    97    19     0     0   877   802
    0   114    29    27    27     7     0     0   877   802
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0    98    30    28    64    13     0     0   877   802
    0    32    29    28    98    19     0     0   877   802
    0    28    29    27    59    10     0     0   877   802
    0    79    29    27    22     5     0     0   877   802
    0   128    30    28    28     7     0     0   877   802
    0    84    30    28    66    14     0     0   877   802
    0    28    29    28    96    18     0     0   877   802
    0    28    29    27    60    10     0     0   877   802
    0    99    29    28    22     5     0     0   877   802
    0    87    30    28    27     7     0     0   877   802
    0    35    29    28    66    14     0     0   877   802
    0    28    29    27    97    18     0     0   877   802
    0    75    29    27    60    10     0     0   877   802
    0   127    30    28    22     5     0     0   877   802
    0    90    30    28    27     7     0     0   877   802
    0    28    29    28    65    14     0     0   877   802
    0    28    29    27    98    18     0     0   877   802
    0    98    29    27    60    10     0     0   877   802
    0    82    30    28    22     5     0     0   877   802
    0    40    30    29    27     7     0     0   877   802
    0    28    29    28    65    14     0     0   877   802
    0    60    29    27    98    18     0     0   877   802
    0   126    30    28    60    10     0     0   877   802
    0    91    30    28    24     5     0     0   877   802
    0    30    29    28    75    13     0     0   877   802
    0    28    29    27    39     7     0     0   877   802
    0    78    29    27    12     5     0     0   877   802
    0   126    30    28    47    11     0     0   877   802
    0    79    30    28    80    15     0     0   877   802
    0   101    29    28    12     5     0     0   877   802
    0    87    30    28    49    11     0     0   877   802
    0    37    30    28    86    16     0     0   877   802
    0    28    29    27    76    13     0     0   877   802
    0    67    29    27    38     6     0     0   877   802
    0   126    30    28    12     5     0     0   877   802
    0    84    30    28    48    11     0     0   877   802
    0    29    30    28    86    16     0     0   877   802
    0    28    29    27    78    13     0     0   877   802
    0    76    29    27    41     7     0     0   877   802
    0   119    30    27    12     5     0     0   877   802
    0    70    30    29    45    10     0     0   877   802
    0    28    29    28    81    15     0     0   877   802
    0    28    29    27    80    14     0     0   877   802
    0   109    30    27    44     7     0     0   877   802
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0    94    30    28    12     5     0     0   877   802
    0    36    30    28    41     9     0     0   877   802
    0    28    29    29    79    14     0     0   877   802
    0    65    29    27    81    13     0     0   877   802
    0   126    30    28    41     7     0     0   877   802
    0    89    30    29     0     0     0     0   877   802
    0    37    30    28    37     9     0     0   877   802
    0    28    29    28    72    14     0     0   877   802
    0    47    29    27    91    15     0     0   877   802
    0   122    30    27    56    10     0     0   877   802
    0   104    30    29    20     5     0     0   877   802
    0    31    29    29    26     7     0     0   877   802
    0    28    29    27    62    13     0     0   877   802
    0    78    29    27    11     5     0     0   877   802
    0   127    30    28    44    10     0     0   877   802
    0    28    29    27    36     6     0     0   877   802
    0    28    28    27     0     0     0     0   877   802
    0    28    28    27     0     0     0     0   877   802
    0    28    28    27     0     0     0     0   877   802
    0    27    28    26     0     0     0     0   877   802
    0    27    28    26     0     0     0     0   877   802
