# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0    28    37    34     0     0     0     0   877   900
    0    30    37    34     0     0     0     0   877   900
    0    30    37    34     0     0     0     0   877   900
    0    30    37    34     0     0     0     0   877   900
    0    30    37    34     0     0     0     0   877   900
    0    30    37    34     0     0     0     0   877   900
    0    30    37    34     0     0     0     0   877   900
    0    30    37    34    11     1     0     0   877   900
    0    30    37    34     3     0     0     0   877   900
    0    30    37    34     4     0     0     0   877   900
    0    30    37    33     0     0     0     0   877   900
    0    30    37    34     0     0     0     0   877   900
    0    30    37    34    49    12     0     0   877   900
    0   126    38    35    73    14     0     0   877   900
    0    39    38    36    11     5     0     0   877   900
    0    30    37    34    80    17     0     0   877   900
    0   112    39    36    38     7     0     0   877   900
    0    30    38    35    45    11     0     0   877   900
    0    83    38    36    86    18     0     0   877   900
    0    63    39    37    15     4     0     0   877   900
    0    30    38    35    69    15     0     0   877   900
    0    98    39    37    48     9     0     0   877   900
    0    30    38    35    35     9     0     0   877   900
    0   112    38    37    83    17     0     0   877   900
    0    46    39    36    12     3     0     0   877   900
    0    30    38    35    71    15     0     0   877   900
    0   100    39    37    47     9     0     0   877   900
    0    30    39    35    54    10     0     0   877   900
    0   116    39    37    29     8     0     0   877   900
    0    38    39    37    88    20     0     0   877   900
    0    30    38    35    16     5     0     0   877   900
    0   114    39    37    67    14     0     0   877   900
    0    30    39    35    50    10     0     0   877   900
    0   133    39    37    34     9     0     0   877   900
    0    34    39    36    83    16     0     0   877   900
    0    64    38    35    12     4     0     0   877   900
    0    99    39    37    73    15     0     0   877   900
    0    30    39    36    45     9     0     0   877   900
    0   138    39    38    38    10     0     0   877   900
    0    32    39    36    81    15     0     0   877   900
    0    75    39    36    12     4     0     0   877   900
    0    30    39    36    41     8     0     0   877   900
    0   141    40    38    41    10     0     0   877   900
    0    31    39    37    76    14     0     0   877   900
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0    82    39    38    12     5     0     0   877   900
    0    87    40    38    79    16     0     0   877   900
    0    30    39    36    39     7     0     0   877   900
    0   123    40    38    44    11     0     0   877   900
    0    31    39    37    74    14     0     0   877   900
    0    81    39    38    11     5     0     0   877   900
    0    82    40    38    79    16     0     0   877   900
    0    30    39    37    39     7     0     0   877   900
    0   132    40    38    44    11     0     0   877   900
    0    31    39    37    73    14     0     0   877   900
    0    81    39    38    11     5     0     0   877   900
    0    89    40    38    80    17     0     0   877   900
    0    30    39    36    36     7     0     0   877   900
    0   142    40    39    51    12     0     0   877   900
    0    31    39    37    26     7     0     0   877   900
    0    81    39    38    84    17     0     0   877   900
    0    68    40    38    12     5     0     0   877   900
    0    30    39    36    74    15     0     0   877   900
    0   111    40    38    43     8     0     0   877   900
    0    31    39    37    40    10     0     0   877   900
    0   103    40    38    77    14     0     0   877   900
    0    47    40    38    12     6     0     0   877   900
    0    30    39    36    78    16     0     0   877   900
    0    98    40    38    40     7     0     0   877   900
    0    31    40    37    42    11     0     0   877   900
    0    34    40    37    75    14     0     0   877   900
    0    43    40    36    85    19     0     0   877   900
    0   107    40    38    32     6     0     0   877   900
    0    30    40    38    51    12     0     0   877   900
    0   134    40    38    66    13     0     0   877   900
    0    33    40    37    18     6     0     0   877   900
    0    75    39    37    88    19     0     0   877   900
    0   105    41    38    27     5     0     0   877   900
    0    30    40    37    55    13     0     0   877   900
    0   140    40    38    62    12     0     0   877   900
    0    32    40    37    22     7     0     0   877   900
    0    85    40    38    88    19     0     0   877   900
    0    92    40    38    23     5     0     0   877   900
    0    30    40    37    60    14     0     0   877   900
    0   123    41    39    55    13     0     0   877   900
    0    31    40    37    63    12     0     0   877   900
    0    82    40    38    20     7     0     0   877   900
    0    63    40    39    88    19     0     0   877   900
    0    30    40    37    25     5     0     0   877   900
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0    98    40    39    58    14     0     0   877   900
    0    34    40    38    80    15     0     0   877   900
    0    59    40    37    11     4     0     0   877   900
    0   101    40    38    73    15     0     0   877   900
    0    30    40    37    45     8     0     0   877   900
    0   137    40    38    38    10     0     0   877   900
    0    33    40    37    80    15     0     0   877   900
    0    74    39    36    12     5     0     0   877   900
    0    99    40    38    73    15     0     0   877   900
    0    30    40    37    44     8     0     0   877   900
    0    32    39    36     4     0     0     0   877   900
