# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0    51    43    40     1     0     0     0   877  1500
    0    49    43    40     0     0     0     0   877  1500
    0    49    43    40     0     0     0     0   877  1500
    0    49    43    39     0     0     0     0   877  1500
    0    49    43    39     0     0     0     0   877  1500
    0    49    42    39     0     0     0     0   877  1500
    0    48    42    39     0     0     0     0   877  1500
    0    49    42    39     1     0     0     0   877  1500
    0    48    42    39     3     0     0     0   877  1500
    0    48    42    39     3     0     0     0   877  1500
    0    48    42    39     0     0     0     0   877  1500
    0    48    42    38     0     0     0     0   877  1500
    0   294    43    41    33    10     0     0   877  1500
    0   107    44    42    18     9     0     0   877  1500
    0    49    43    40    56    19     0     0   877  1500
    0   160    43    40    57    19     0     0   877  1500
    0   322    44    42    20     6     0     0   877  1470
    0    62    44    41    24    10     0     0   877  1500
    0    50    43    40    58    20     0     0   877  1500
    0   301    44    42    45    13     0     0   877  1500
    0    79    44    42    19     8     0     0   877  1500
    0    49    44    40    58    20     0     0   877  1500
    0   250    44    42    54    17     0     0   877  1500
    0   106    46    42    19     9     0     0   877  1500
    0    49    44    40    53    17     0     0   877  1500
    0   168    44    42    57    19     0     0   877  1500
    0   206    46    42    19     6     0     0   877  1500
    0    52    45    41    35    13     0     0   877  1500
    0    49    44    41    57    19     0     0   877  1500
    0   141    44    40    58    20     0     0   877  1500
    0   323    46    43    37    11     0     0   877  1500
    0   108    45    43    15     8     0     0   877  1500
    0    52    45    41    36    13     0     0   877  1500
    0    49    44    40    57    19     0     0   877  1500
    0   170    44    42    58    20     0     0   877  1500
    0    51    45    42    40    14     0     0   877  1500
    0    49    44    42    57    19     0     0   877  1500
    0   187    45    43    58    20     0     0   877  1500
    0   271    47    43    30     9     0     0   877  1500
    0    65    45    42    16     7     0     0   877  1500
    0    51    45    42    45    14     0     0   877  1500
    0    50    45    41    57    19     0     0   877  1500
    0   314    47    44    44    13     0     0   877  1455
    0    62    46    42    18     8     0     0   877  1500
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0    50    45    42    53    18     0     0   877  1500
    0   211    45    43    58    20     0     0   877  1500
    0   201    47    43    26     7     0     0   877  1500
    0    51    45    42    31    12     0     0   877  1500
    0    50    45    41    58    20     0     0   877  1500
    0   298    47    44    46    14     0     0   877  1500
    0    62    46    43    18     9     0     0   877  1500
    0    50    45    43    52    17     0     0   877  1500
    0   219    46    43    57    20     0     0   877  1500
    0   167    47    43    24     7     0     0   877  1500
    0    51    46    42    36    13     0     0   877  1500
    0    50    45    42    58    20     0     0   877  1500
    0   243    47    44    36    11     0     0   877  1477
    0    57    46    43    29    11     0     0   877  1500
    0   241    48    45    21     6     0     0   877  1470
    0    56    46    43    43    14     0     0   877  1500
    0    50    45    42    58    20     0     0   877  1500
    0   292    46    43    34    10     0     0   877  1500
    0   110    48    44    24    10     0     0   877  1500
    0    51    46    43    58    20     0     0   877  1500
    0   140    46    42    52    15     0     0   877  1500
    0   231    47    44    18     9     0     0   877  1485
    0    53    46    43    47    15     0     0   877  1500
    0    50    45    42    58    20     0     0   877  1500
    0   320    47    43    30     9     0     0   877  1500
    0    83    47    43    27    10     0     0   877  1500
    0    51    45    42    58    20     0     0   877  1500
    0   161    45    43    50    15     0     0   877  1500
    0   239    47    44    18     9     0     0   877  1500
    0    63    46    43    33    12     0     0   877  1500
    0    51    46    43    58    19     0     0   877  1500
    0   200    46    44    47    14     0     0   877  1500
    0   225    47    44    17     9     0     0   877  1500
    0    52    46    43    48    16     0     0   877  1500
    0    50    45    42    57    19     0     0   877  1500
    0   320    47    44    33    10     0     0   877  1500
    0    80    47    44    23     9     0     0   877  1500
